1本動画プレゼント台本の流れ,,,,,,,,,,,流れを箇条書きで記載,,,,,,,,,修正後
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"ママでも)自分の可能性を諦めない！
専門スキルがなくても時短術×神サポート術で理想の在宅ワークを叶える3つの秘訣",,,,,,,,,
１、あいさつ・導入,なぜ今これが大事なのか。この動画を見るとチャンスを掴めるということをメインに伝える,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
導入,お名前,,,,,,,,,,導入,"こんにちは！あやねえです。
この度はLINEのプレゼント動画を見てくださって本当にありがとうございます。",,,,,,,,"こんにちは！あやねえです。
この度はLINEのプレゼント動画を見てくださって本当にありがとうございます。"
,動画のタイトル＋受け取りの感謝,,,,,,,,,,,"この動画では、
「ママでも、専門スキルがなくても、在宅で月30万円以上稼ぐ方法」
その中でも、【時短術×神サポート術】を掛け合わせて、
理想の働き方を叶える《3つの秘訣》をお届けします。",,,,,,,,"この動画では、
「ママでも、専門スキルがなくても、在宅で月30万円以上稼ぐ方法」
その中でも、【時短術×神サポート術】を掛け合わせて、
理想の働き方を叶える《3つの秘訣》をお届けします。"
,視聴期限がある場合は強調して伝える,,,,,,,,,,,本題に入る前に少しお伝えしたいことがあるのですが、こちらの動画は3日間限定の視聴期限が設けられています。一度ページを開いてから3日をすぎると、こちらの動画も、動画を見れているページも、2度と見ることができなくなるためぜひお時間ある時に集中してご覧いただければと思います。,,,,,,,,本題に入る前に少しお伝えしたいことがあるのですが、こちらの動画は3日間限定の視聴期限が設けられています。一度ページを開いてから3日をすぎると、こちらの動画も、動画を見れているページも、2度と見ることができなくなるためぜひお時間ある時に集中してご覧いただければと思います。
,動画の最後にお伝えするもう１つのプレゼントを少し紹介する,,,,,,,,,,,"また、動画の最後には、こちらのプレミアム動画よりもさらに特別な特典のご紹介があります。
それは、「理想の在宅ワークを実現するまでのロードマップ個別相談会」というもので、
専門スキル0からでも在宅ワークで
安定収入を叶えるまでの具体的なロードマップを
今のあなたの状況に合わせて一緒に考えます",,,,,,,,"また、動画の最後には、こちらのプレミアム動画よりもさらに特別な特典のご紹介があります。
それは、「理想の在宅ワークを実現するまでのロードマップ個別相談会」というもので、
専門スキル0からでも在宅ワークで
安定収入を叶えるまでの具体的なロードマップを
今のあなたの状況に合わせて一緒に考えます"
,個別相談や勉強会のタイトル,,,,,,,,,,,こちらの特典の詳細については、動画の最後にお伝えしますのでぜひ最後までご覧ください。,,,,,,,,こちらの特典の詳細については、動画の最後にお伝えしますのでぜひ最後までご覧ください。
,個別相談や勉強会で得られることを軽く紹介,,,,,,,,,,,,,,,,,,,
,動画タイトルを徹底解説することを伝える,,,,,,,,,,,"それでは、ここからは私自身がアラフォーで3児の母、しかもそのうち2人は双子というドタバタな生活の中でも
会社員から独立、オンライン秘書として在宅で安定収入を叶え、自由とやりがいを両立して働けるようになった経験をもとにお話しします。",,,,,,,,"それでは、ここからは私自身がアラフォーで3児の母、しかもそのうち2人は双子というドタバタな生活の中でも
会社員から独立、オンライン秘書として在宅で安定収入を叶え、自由とやりがいを両立して働けるようになった経験をもとにお話しします。"
